UserID,MovieID,Rating,label
1,661,3,0
1,914,3,0
1,594,4,0
1,938,4,0
1,2687,3,0
1,2018,4,0
1,2340,3,0
1,2294,4,0
1,1907,4,0
1,2692,4,0
1,1029,5,0
2,648,4,0
2,2628,3,0
2,2916,3,0
2,1210,4,0
2,2881,3,0
2,3030,4,0
2,434,2,0
2,2126,3,0
2,3035,4,0
2,1259,5,0
2,3256,2,0
2,2278,3,0
2,2490,3,0
2,1690,3,0
2,2858,4,0
2,442,3,0
2,480,5,0
2,1372,3,0
2,2353,4,0
2,1552,3,0
2,736,4,0
2,1198,4,0
2,95,2,0
2,1597,3,0
2,235,3,0
2,163,4,0
2,21,1,0
2,165,3,0
2,349,4,0
2,1385,3,0
2,3451,4,0
2,780,3,0
3,648,3,0
3,1210,4,0
3,1291,4,0
3,1259,5,0
3,2167,5,0
3,2858,4,0
3,480,4,0
3,1266,5,0
3,1198,5,0
3,2871,4,0
3,2115,4,0
4,1210,3,0
4,480,4,0
4,1198,5,0
4,2366,4,0
4,3527,1,0
4,2692,5,0
4,2947,5,0
5,288,2,0
5,1392,4,0
5,2916,1,0
5,3793,2,0
5,1617,3,0
5,2858,4,0
5,1191,2,0
5,1192,5,0
5,377,4,0
5,2353,3,0
5,3083,5,0
5,2282,3,0
5,1912,3,0
5,162,4,0
5,3016,4,0
5,1279,1,0
5,2721,3,0
5,3744,1,0
5,968,3,0
5,1715,4,0
5,1794,3,0
5,1722,2,0
5,3476,3,0
5,3113,1,0
5,1089,5,0
5,3624,3,0
5,1884,3,0
5,562,4,0
5,1747,2,0
5,2692,4,0
5,3499,3,0
5,34,4,0
5,714,4,0
6,1101,4,0
6,1688,5,0
6,3074,5,0
6,2858,1,0
6,377,3,0
6,383,4,0
6,3604,5,0
6,2802,4,0
6,1210,3,0
6,3682,3,0
6,3685,3,0
6,3610,3,0
6,1947,5,0
6,1088,5,0
6,914,5,0
6,3624,4,0
6,3565,4,0
6,34,4,0
7,648,4,0
7,2916,5,0
7,3793,3,0
7,442,4,0
7,377,3,0
7,2353,5,0
7,1573,4,0
7,474,5,0
7,1722,4,0
7,3256,5,0
7,480,4,0
7,349,5,0
8,288,5,0
8,2916,5,0
8,3213,3,0
8,3500,3,0
8,2278,3,0
8,1476,3,0
8,2490,2,0
8,4,3,0
8,2858,5,0
8,377,4,0
8,163,5,0
8,1701,4,0
8,1274,5,0
8,741,5,0
8,1711,3,0
8,393,2,0
8,1573,4,0
8,1210,4,0
8,3256,5,0
8,2600,2,0
8,480,5,0
8,555,4,0
8,2324,3,0
8,349,4,0
8,562,5,0
8,2692,5,0
9,3793,4,0
9,1617,4,0
9,2278,4,0
9,2858,4,0
9,377,3,0
9,1552,2,0
9,1912,3,0
9,162,4,0
9,1343,3,0
9,3452,2,0
9,2294,4,0
9,1060,4,0
9,1356,3,0
9,1210,4,0
9,480,4,0
9,1089,4,0
9,2324,5,0
9,349,4,0
9,2692,4,0
10,648,4,0
10,2628,3,0
10,3500,5,0
10,1259,3,0
10,3363,5,0
10,3439,2,0
10,1690,4,0
10,2497,4,0
10,2,5,0
10,2135,4,0
10,1198,5,0
10,594,5,0
10,596,4,0
10,1345,3,0
10,1276,3,0
10,3451,5,0
10,1927,3,0
10,316,5,0
10,1282,5,0
10,1356,5,0
10,1283,3,0
10,329,5,0
10,3034,4,0
10,3035,3,0
10,3037,5,0
10,1291,5,0
10,904,4,0
10,1009,5,0
10,1947,5,0
10,1371,4,0
10,1372,4,0
10,914,5,0
10,1375,4,0
10,1376,4,0
10,918,5,0
10,1015,3,0
10,1884,2,0
10,3489,4,0
10,2324,5,0
10,780,5,0
10,3704,2,0
10,1023,5,0
10,2693,5,0
10,3066,2,0
10,2193,5,0
10,938,4,0
10,1101,4,0
10,1031,4,0
10,1617,3,0
10,2858,3,0
10,3591,5,0
10,3593,4,0
10,1129,4,0
10,2431,5,0
10,2294,4,0
10,2000,5,0
10,1200,5,0
10,1204,4,0
10,3675,5,0
10,2009,4,0
10,899,4,0
10,2948,4,0
10,3174,4,0
10,1573,5,0
10,1210,4,0
10,2018,4,0
10,541,5,0
10,116,3,0
10,2021,4,0
10,2968,4,0
10,480,4,0
10,1088,5,0
10,2530,3,0
10,2393,4,0
10,1676,4,0
10,208,4,0
10,2115,5,0
10,2043,5,0
10,2046,4,0
11,1259,3,0
11,1198,4,0
11,246,4,0
11,1288,4,0
11,3101,1,0
11,3129,4,0
11,3499,2,0
11,2858,5,0
11,2282,4,0
11,1701,4,0
11,2431,2,0
11,3174,2,0
11,1573,1,0
